SPEC_ID,NAME,RA,DEC,Z,Quality
19997,g0404203-814025,61.08466667,-81.67369444,0.061574,4
19998,g0405088-814648,61.28670833,-81.77991667,0.067324,4
19999,g0412077-813422,63.03195833,-81.57263889,0.057364,4
20000,g0400394-820014,60.16404167,-82.00388889,0.060004,4
20001,g0421279-814113,65.36620833,-81.68683333,0.057404,4
20004,g0439587-815857,69.994375,-81.98261111,0.077272,4
20006,g0433159-824345,68.31608333,-82.72922222,0.063153,4
20008,g0447573-822750,71.988875,-82.46386111,0.021796,4
20010,g0443329-831220,70.886875,-83.20544444,0.063547,4
20011,g0449097-832019,72.29058333,-83.33869444,0.063667,4
20012,g0404265-834743,61.11054167,-83.79538889,0.071706,4
20014,g0403399-835609,60.91641667,-83.93572222,0.016966,4
20015,g0402144-831908,60.560125,-83.31886111,0.041915,4
20016,g0434344-840144,68.643375,-84.02880556,0.082084,4
20017,g0445194-840913,71.330625,-84.1535,0.081968,4
20018,g0408405-840233,62.16866667,-84.0425,0.041836,4
20019,g0423171-842516,65.82108333,-84.421,0.110334,4
20020,g0427481-841726,66.95029167,-84.29047222,0.058117,4
20023,g0430071-843054,67.52970833,-84.51497222,0.044794,4
20024,g0447117-845728,71.79866667,-84.95777778,0.043205,4
20025,g0426237-844334,66.59875,-84.72616667,0.064118,4
20026,g0433499-850643,68.45783333,-85.11183333,0.041285,4
20028,g0431228-852130,67.844875,-85.35841667,0.101098,4
20029,g0404574-845405,61.23933333,-84.90136111,0.104394,3
20030,g0400043-852013,60.01779167,-85.33694444,0.104834,4
20729,g0402417-770721,60.67391667,-77.12244444,0.048106,4
20730,g0403447-773141,60.93608333,-77.52805556,0.067937,3
20731,g0411044-772626,62.76833333,-77.44058333,0.031777,4
20733,g0407263-781512,61.85975,-78.25330556,0.068598,4
20734,g0400264-784341,60.11,-78.72802778,0.057818,4
20735,g0406082-783659,61.53395833,-78.61638889,0.090565,4
20736,g0421370-782016,65.40416667,-78.33772222,0.056119,4
20737,g0402302-784551,60.62566667,-78.76422222,0.058979,4
20739,g0410387-785526,62.661375,-78.92383333,0.086116,4
20741,g0405308-793144,61.378125,-79.52875,0.055449,4
20742,g0416327-791656,64.13608333,-79.28213889,0.05393,4
20743,g0411115-793527,62.79770833,-79.59069444,0.04447,4
20744,g0401524-791953,60.46820833,-79.33127778,0.068279,4
20745,g0406304-794120,61.62645833,-79.68891667,0.07101,4
20746,g0417068-795128,64.2785,-79.85788889,0.072491,4
20747,g0426262-800359,66.60908333,-80.06633333,0.058322,4
20748,g0400469-795132,60.19525,-79.85875,0.05593,4
20750,g0416231-802056,64.09616667,-80.34880556,0.015841,4
20751,g0421191-803236,65.32945833,-80.54319444,0.057922,4
20754,g0415304-804852,63.876625,-80.81430556,0.061942,4
20755,g0412150-805045,63.06254167,-80.84591667,0.063071,4
20757,g0407365-805017,61.902,-80.838,0.099328,4
22312,g0400581-554946,60.24220833,-55.82941667,0.047261,4
22316,not__in__config,60.83583333,-56.44216667,0.028201,4
22318,not__in__config,60.36570833,-56.79841667,0.091579,4
22319,g0401272-565926,60.36354167,-56.99066667,0.069248,4
22322,g0400290-571120,60.12083333,-57.18897222,0.113462,4
22328,not__in__config,60.88183333,-57.99505556,0.118343,4
22335,g0400188-583907,60.078125,-58.65202778,0.116692,4
22336,not__in__config,60.124375,-58.90227778,0.02203,4
22337,g0402094-591349,60.53904167,-59.23022222,0.058651,4
22523,not__in__config,60.31066667,-45.59961111,0.099875,4
22531,not__in__config,60.741375,-46.54055556,0.042525,4
22537,not__in__config,60.46929167,-47.28019444,0.042644,4
22592,g0401535-672423,60.47279167,-67.40638889,0.040668,4
22595,g0405232-675224,61.34679167,-67.87338889,0.070569,4
22596,g0404304-674117,61.12658333,-67.68808333,0.069309,4
22597,g0408249-673329,62.10383333,-67.55802778,0.053629,4
22598,g0406190-680010,61.57929167,-68.00263889,0.071689,4
22599,g0411206-675515,62.835875,-67.92075,0.05434,4
22600,g0410401-680313,62.66704167,-68.05347222,0.05308,4
22602,g0408351-683017,62.14641667,-68.50469444,0.06009,4
22603,g0415013-683558,63.75525,-68.59944444,0.090482,4
22604,g0408409-685241,62.17029167,-68.878,0.05309,4
22605,g0411343-685657,62.89275,-68.94911111,0.052751,4
22606,g0416249-685559,64.103875,-68.93291667,0.059261,4
22607,g0403350-690228,60.89591667,-69.04122222,0.04837,4
22608,g0402559-690800,60.733,-69.13336111,0.04872,4
22609,g0409437-694724,62.43195833,-69.78991667,0.049051,4
22610,g0413382-692337,63.40933333,-69.39352778,0.042558,4
22611,g0402405-693810,60.668875,-69.63616667,0.105568,4
22612,g0408218-693411,62.090625,-69.56958333,0.039351,4
22613,g0411008-695033,62.75320833,-69.84236111,0.048141,4
22614,g0417154-700126,64.31433333,-70.02377778,0.024572,4
22615,g0410239-695758,62.59966667,-69.96597222,0.034788,4
22616,g0409373-701048,62.40545833,-70.18008333,0.086549,4
22619,g0406371-701039,61.65445833,-70.17736111,0.047901,4
22621,g0409436-703640,62.431625,-70.61102778,0.068882,4
22622,g0411527-705432,62.96945833,-70.90891667,0.06861,4
22624,g0411053-711122,62.771875,-71.18936111,0.123694,4
22625,g0410024-711812,62.50991667,-71.30325,0.068953,4
22626,g0405192-710818,61.329875,-71.13844444,0.086629,4
22629,g0402218-705749,60.590875,-70.96363889,0.048491,4
22846,g0400023-510002,60.00975,-51.00041667,0.057806,4
22847,g0401483-504121,60.45116667,-50.68908333,0.057757,4
22850,not__in__config,60.63133333,-50.94527778,0.085237,3
22854,not__in__config,61.252875,-50.74077778,0.068774,4
22855,not__in__config,60.47816667,-51.75319444,0.018595,4
22856,not__in__config,60.93579167,-51.64252778,0.084887,4
22857,not__in__config,60.83925,-51.86730556,0.036773,4
22860,g0400262-521935,60.10904167,-52.32630556,0.032775,4
22861,g0407489-515904,61.95258333,-51.98483333,0.036647,4
22862,g0401448-522101,60.4365,-52.35038889,0.034505,4
22863,g0406067-521519,61.52791667,-52.25538889,0.042637,4
22867,g0408179-524026,62.07458333,-52.67388889,0.070367,4
22868,not__in__config,60.74316667,-52.81805556,0.035715,4
22869,not__in__config,60.17616667,-52.96297222,0.059915,4
22870,g0405114-525317,61.29754167,-52.88805556,0.070333,4
22876,not__in__config,61.20945833,-53.59977778,0.043785,4
22878,g0400493-532808,60.20529167,-53.46891667,0.069165,4
22919,g0400261-090911,60.10875,-9.15308333,0.094692,4
22921,g0401454-091951,60.439,-9.33080556,0.093132,4
22924,g0402352-110850,60.64645833,-11.14725,0.024228,4
22926,g0400399-115340,60.16625,-11.8945,0.095294,4
22994,g0400083-355255,60.03458333,-35.88197222,0.075962,4
22997,g0401383-360235,60.40966667,-36.04313889,0.059142,4
22998,g0402136-355940,60.55645833,-35.99444444,0.059582,4
23001,g0403020-361841,60.75816667,-36.31127778,0.060522,4
23002,g0403381-362227,60.90879167,-36.37408333,0.059282,4
23003,g0400407-370506,60.16970833,-37.08511111,0.051293,4
23004,g0401483-370226,60.451125,-37.0405,0.05916,4
23005,g0405197-365901,61.33216667,-36.98352778,0.065651,4
23006,g0402117-371860,60.54891667,-37.31663889,0.0513,4
23007,g0405289-371017,61.37029167,-37.17130556,0.065015,4
23008,g0405270-371716,61.36266667,-37.28772222,0.095953,4
23009,g0402519-372042,60.71608333,-37.345,0.065894,4
23011,g0401538-381334,60.474125,-38.22605556,0.059972,4
23013,g0405115-385145,61.298,-38.8625,0.054412,4
23015,g0400481-383902,60.20054167,-38.65063889,0.066412,4
23103,g0403049-360834,60.770375,-36.14277778,0.058781,4
23104,g0401018-363330,60.25729167,-36.55836111,0.022249,4
23105,g0401596-364055,60.4985,-36.68191667,0.100363,3
23107,g0401283-370808,60.36791667,-37.13544444,0.058301,4
23108,g0401428-373019,60.42816667,-37.50530556,0.056802,4
23110,g0405104-371250,61.29325,-37.21380556,0.066213,4
23111,g0405048-372046,61.27016667,-37.34605556,0.065953,4
23113,g0403357-380330,60.89891667,-38.05819444,0.059943,4
23114,g0400440-375758,60.18329167,-37.96613889,0.057312,3
23118,g0401462-383320,60.44258333,-38.55563889,0.059944,4
23119,g0405087-385747,61.28608333,-38.96294444,0.074495,4
23125,g0402014-392718,60.50591667,-39.45494444,0.048054,4
23195,g0401012-611321,60.254875,-61.22238889,0.04806,4
23197,g0400016-605129,60.00658333,-60.85802778,0.04735,4
23198,g0401453-604531,60.43866667,-60.75852778,0.017929,4
23199,g0403415-604911,60.92279167,-60.81958333,0.050354,4
23200,g0403159-604218,60.816375,-60.70511111,0.062764,4
23202,g0405164-601715,61.318375,-60.2875,0.061283,4
23203,g0404250-604104,61.10408333,-60.68447222,0.050654,4
23204,g0407279-602132,61.86625,-60.35877778,0.071041,4
23205,g0404430-620058,61.17908333,-62.01616667,0.019124,4
23206,g0407225-604329,61.843875,-60.72469444,0.053974,4
23207,g0408298-604926,62.12420833,-60.82394444,0.048494,4
23208,g0409190-605504,62.32933333,-60.91786111,0.053701,4
23209,g0411075-604507,62.78120833,-60.75188889,0.059895,4
23210,g0407521-611613,61.96720833,-61.27022222,0.021384,4
23211,g0411344-605937,62.89333333,-60.99361111,0.017551,4
23212,g0410238-611921,62.59929167,-61.32244444,0.058465,4
23213,g0413500-605713,63.45816667,-60.95358333,0.056396,4
23214,g0413130-611354,63.304,-61.23155556,0.054536,4
23215,g0414321-611415,63.63391667,-61.23744444,0.056586,4
23216,g0413404-613241,63.41841667,-61.54472222,0.056606,4
23217,g0416090-613111,64.03758333,-61.51983333,0.027982,4
23218,g0415105-615025,63.793625,-61.84038889,0.054653,4
23219,g0412510-620141,63.21233333,-62.02802778,0.058557,4
23220,g0407548-621407,61.97816667,-62.23516667,0.019072,4
23221,g0409290-621621,62.370625,-62.27258333,0.052176,4
23222,g0406078-620321,61.53245833,-62.05569444,0.018795,4
23223,g0405246-622713,61.35229167,-62.45361111,0.162968,4
23224,g0406354-621521,61.64733333,-62.25575,0.162078,4
23225,g0407138-623258,61.80766667,-62.54955556,0.018952,4
23226,g0411171-624608,62.821125,-62.76894444,0.091948,4
23227,g0416538-631214,64.22420833,-63.204,0.060379,4
23228,g0413008-631506,63.25345833,-63.25158333,0.059518,4
23229,g0418571-632921,64.73770833,-63.48911111,0.017848,4
23230,g0413524-632539,63.46833333,-63.42744444,0.054858,4
23231,g0417522-634031,64.46741667,-63.67525,0.017588,4
23232,g0406290-633804,61.620625,-63.63433333,0.090615,4
23233,g0415592-633713,63.99683333,-63.62033333,0.048035,4
23234,g0409268-631508,62.36183333,-63.25230556,0.065544,4
23235,g0409544-630601,62.47675,-63.10013889,0.017946,4
23236,g0403143-624643,60.80958333,-62.77863889,0.018395,4
23237,g0407203-630505,61.8345,-63.08458333,0.066667,4
23238,g0412242-640047,63.10091667,-64.01294444,0.019018,4
23239,g0402043-633924,60.51791667,-63.65655556,0.018396,4
23240,g0403165-630645,60.81891667,-63.11255556,0.018662,4
23242,g0403546-623111,60.977625,-62.51969444,0.065976,4
23243,g0411594-643624,62.997625,-64.60652778,0.155202,4
23244,g0403079-634727,60.78275,-63.79088889,0.061654,4
23245,g0408458-643820,62.19075,-64.63888889,0.07721,4
23246,g0401550-640611,60.47933333,-64.10297222,0.041444,4
23247,g0402421-635527,60.67554167,-63.92419444,0.060524,4
23248,g0405591-644102,61.49625,-64.68383333,0.077569,4
23249,g0402259-642248,60.60795833,-64.38008333,0.040384,4
23250,g0404081-642534,61.03375,-64.42597222,0.089835,4
23252,g0402312-650141,60.63004167,-65.02813889,0.041908,4
23253,g0400313-643760,60.130375,-64.63322222,0.089169,4
23254,g0400476-645839,60.198125,-64.97744444,0.041574,4
23320,g0401265-170919,60.36033333,-17.15536111,0.116694,4
23322,g0400519-175611,60.21604167,-17.93627778,0.101123,4
23328,g0402462-180519,60.6925,-18.08872222,0.041571,4
23329,g0403293-175900,60.87216667,-17.98336111,0.036717,4
23330,g0404297-175416,61.12375,-17.9045,0.026867,4
23331,g0405510-174125,61.46229167,-17.69016667,0.031531,3
23333,g0400280-204654,60.11658333,-20.78169444,0.041668,4
23334,g0405403-181858,61.41770833,-18.31605556,0.137444,4
23337,g0401307-191339,60.37795833,-19.22752778,0.014179,4
23339,g0405007-191609,61.25304167,-19.26919444,0.06592,4
23340,g0407235-192449,61.84791667,-19.41352778,0.112537,4
23341,g0403330-195412,60.887375,-19.90344444,0.109972,4
23344,g0409205-201306,62.33533333,-20.21841667,0.030273,4
23346,g0406107-201309,61.54445833,-20.21919444,0.034022,4
23347,g0406469-203828,61.69558333,-20.64122222,0.040423,4
23349,g0407445-205627,61.93520833,-20.94083333,0.014269,4
23350,g0403156-202303,60.815,-20.38419444,0.032418,4
23351,g0408366-210353,62.15241667,-21.06458333,0.013699,4
23352,g0404138-203726,61.05766667,-20.624,0.032472,4
23353,g0406497-211022,61.70716667,-21.17263889,0.003201,4
23354,g0407554-212237,61.98079167,-21.377,0.057305,4
23355,g0404331-210437,61.13795833,-21.07694444,0.032142,4
23356,g0404331-211222,61.13775,-21.20619444,0.107217,4
23357,g0404255-204757,61.106125,-20.79905556,0.032439,4
23359,g0405284-213036,61.36829167,-21.50991667,0.032503,4
23360,g0401226-201800,60.34404167,-20.30008333,0.064533,4
23361,g0402461-210709,60.69225,-21.11905556,0.025481,4
23362,g0404322-214843,61.13395833,-21.812,0.042043,4
23363,g0403034-212818,60.76416667,-21.47177778,0.040542,4
23364,g0400345-205406,60.14358333,-20.90175,0.064783,4
23365,g0403257-215317,60.85716667,-21.88808333,0.041273,4
23366,g0401247-212347,60.35295833,-21.3965,0.025457,4
23368,g0402348-221823,60.64483333,-22.30630556,0.066314,4
23370,g0400032-220260,60.01333333,-22.04994444,0.164619,4
23371,g0400376-223346,60.15666667,-22.56275,0.062204,4
23414,g0400416-304952,60.173375,-30.831,0.005093,4
23417,g0402568-304855,60.736625,-30.81536111,0.068613,4
23418,g0402553-312019,60.73025,-31.33861111,0.059577,4
23419,g0401044-313009,60.26820833,-31.50258333,0.060456,4
23420,g0401360-312940,60.400125,-31.49438889,0.065846,4
23422,g0400375-320057,60.15625,-32.01575,0.058836,4
23423,g0402342-315259,60.64258333,-31.88311111,0.296637,3
23425,g0403150-315730,60.81258333,-31.95838889,0.12229,4
23427,g0402276-330104,60.61491667,-33.01780556,1.36138,4
23429,g0403538-330642,60.97429167,-33.11158333,0.167329,4
23432,g0405497-332247,61.45691667,-33.37966667,0.187611,4
23433,g0402539-332737,60.72441667,-33.46013889,0.051617,4
23434,g0408311-335024,62.12970833,-33.84011111,0.186272,4
23435,g0405138-335057,61.30729167,-33.84902778,0.111501,4
23436,g0404473-335608,61.197,-33.93558333,0.004106,4
23437,g0410108-343527,62.54516667,-34.59080556,0.065811,4
23438,g0404470-343349,61.19595833,-34.56363889,0.059119,4
23439,g0405332-344833,61.38833333,-34.80925,0.058599,4
23441,g0403198-345212,60.83254167,-34.87,0.069179,4
23442,g0400470-342652,60.195875,-34.44763889,0.1927,3
23444,g0404382-353933,61.15895833,-35.65916667,0.066516,4
23445,g0402069-353353,60.52870833,-35.56477778,0.068819,4
23446,g0400186-353620,60.077625,-35.60552778,0.065408,4
23503,g0400393-274720,60.163625,-27.78897222,0.065254,4
23504,g0401196-274229,60.33183333,-27.70805556,0.061184,4
23506,g0402132-272360,60.55479167,-27.39986111,0.062564,4
23507,g0402482-272153,60.701,-27.36461111,0.127408,4
23508,g0401451-275436,60.43804167,-27.90994444,0.065105,4
23511,g0401567-273623,60.48608333,-27.60627778,0.065091,4
23513,g0406290-270921,61.620875,-27.15569444,0.088276,4
23514,g0400214-281711,60.08929167,-28.28625,0.060701,4
23515,g0403468-281557,60.94495833,-28.26586111,0.064765,4
23517,g0401172-295340,60.3215,-29.89430556,0.11181,4
23518,g0405163-280046,61.317875,-28.01266667,0.015573,3
23519,g0406505-274951,61.71033333,-27.83080556,0.013433,3
23520,g0401067-280339,60.27795833,-28.06086111,0.061635,4
23522,g0406397-285925,61.66541667,-28.99038889,0.261567,4
23523,g0409223-283860,62.34308333,-28.64988889,0.53397,4
23524,g0410121-285306,62.5505,-28.88511111,0.92691,3
23525,g0401566-290434,60.48583333,-29.076,0.063146,4
23527,g0402316-290939,60.63145833,-29.16094444,0.064456,4
23529,g0402155-294206,60.56441667,-29.70161111,0.063553,4
23530,g0409461-294858,62.44191667,-29.816,0.047498,4
23531,g0407372-294606,61.905,-29.76838889,0.030656,4
23535,g0404577-300653,61.240375,-30.11477778,0.058257,4
23536,g0405328-301439,61.386625,-30.24422222,0.059338,4
23537,g0404306-294019,61.12729167,-29.67180556,0.098159,4
23538,g0405550-302007,61.47916667,-30.33522222,0.059248,4
23540,g0407526-304346,61.96920833,-30.72947222,0.062585,3
23541,g0406188-302729,61.57845833,-30.45805556,0.060695,4
23542,g0406402-305150,61.66729167,-30.86386111,0.060485,4
23543,g0404008-301340,61.0035,-30.22783333,0.059338,4
23544,g0403059-300609,60.77475,-30.1025,0.060037,4
23546,g0402553-295158,60.73020833,-29.86602778,0.098679,4
23547,g0403273-304237,60.86366667,-30.71036111,0.060355,4
23548,g0403174-304810,60.82233333,-30.80275,0.059488,4
23549,g0403105-311739,60.79383333,-31.29416667,0.065676,4
23551,g0400352-303943,60.14666667,-30.66205556,0.144082,4
23553,g0402234-295414,60.5975,-29.90397222,0.060367,4
23554,g0401183-312711,60.32629167,-31.45308333,0.059428,4
23556,g0401107-093342,60.29454167,-9.56163889,0.036869,4
23557,g0400266-094631,60.11079167,-9.77527778,0.032812,4
23599,g0400201-053507,60.083875,-5.58533333,0.131005,4
23600,g0401331-051746,60.38775,-5.29616667,0.065522,4
23601,g0401489-054136,60.453875,-5.69336111,0.070496,4
23603,g0402433-061237,60.68054167,-6.21030556,0.037471,4
23604,g0404552-061817,61.230125,-6.30477778,0.026751,4
23607,g0405374-051855,61.40595833,-5.31516667,0.032712,4
23608,g0406434-050653,61.68079167,-5.11472222,0.066158,4
23609,g0406147-053907,61.56129167,-5.65186111,0.016204,4
23612,g0408471-052952,62.19608333,-5.49775,0.065879,4
23613,g0408579-053800,62.24129167,-5.63344444,0.076076,4
23614,g0407438-061857,61.93229167,-6.31594444,0.086869,4
23615,g0404550-063425,61.229,-6.57358333,0.064467,4
23616,g0410576-054419,62.73995833,-5.73869444,0.064929,4
23617,g0409105-055947,62.29391667,-5.99644444,0.038187,4
23618,g0409422-061856,62.425875,-6.31561111,0.08439,4
23619,g0410557-063606,62.732,-6.60155556,0.037144,4
23620,g0411574-063719,62.98908333,-6.62194444,0.06457,4
23621,g0412243-064355,63.10129167,-6.73183333,0.069097,4
23622,g0410072-064257,62.53004167,-6.71577778,0.13156,4
23623,g0409150-064628,62.31254167,-6.77430556,0.133149,4
23624,g0408469-064813,62.19558333,-6.80369444,0.165731,4
23625,g0407176-070204,61.82333333,-7.03436111,0.064428,4
23626,g0406464-070718,61.693375,-7.12152778,0.022465,4
23627,g0410272-074032,62.6135,-7.67541667,0.032333,4
23628,g0404274-071258,61.114125,-7.21611111,0.022114,4
23629,g0411497-080602,62.95720833,-8.10052778,0.0736,4
23630,g0411182-081830,62.82570833,-8.30825,0.074376,4
23631,g0409232-081835,62.34675,-8.30983333,0.121932,4
23632,g0410452-083560,62.68833333,-8.59988889,0.074806,3
23633,g0409548-084157,62.47825,-8.69911111,0.033203,4
23634,g0410470-085937,62.695625,-8.99369444,0.067215,3
23635,g0408466-083746,62.19404167,-8.62936111,0.037086,3
23636,g0408074-084945,62.031,-8.82925,0.033206,4
23637,g0407317-090609,61.88191667,-9.1025,0.033222,4
23638,g0408062-092734,62.02595833,-9.45955556,0.155903,3
23639,g0407087-091529,61.786125,-9.25794444,0.157053,3
23640,g0404050-084301,61.021,-8.717,0.037244,4
23641,g0403115-083511,60.79804167,-8.58641667,0.062122,4
23642,g0404343-094057,61.14304167,-9.68261111,0.032751,4
23643,g0404205-095541,61.085375,-9.92802778,0.03322,4
23644,g0400519-175611,60.21604167,-17.93627778,0.10112,4
23646,g0400459-165839,60.19108333,-16.97736111,0.086505,4
23651,g0401265-170919,60.36033333,-17.15536111,0.11547,4
23690,g0402453-160116,60.68875,-16.02119444,0.031786,4
23696,g0402200-160723,60.58320833,-16.12291667,0.031722,4
23697,g0401240-145455,60.34995833,-14.91522222,0.023741,4
23700,g0400455-160731,60.189625,-16.12525,0.031322,4
23702,g0402287-140948,60.61958333,-14.16322222,0.083878,4
23703,g0404495-132328,61.206375,-13.39119444,0.029995,4
23704,g0403171-140435,60.82125,-14.07641667,0.072087,4
23705,g0405167-125923,61.31941667,-12.98983333,0.123481,4
23706,g0405024-144736,61.26,-14.79344444,0.077675,4
23707,g0403120-141709,60.79983333,-14.28583333,0.031795,4
23708,g0406014-155909,61.506,-15.98583333,0.031253,4
23709,g0405085-140429,61.28529167,-14.07463889,0.031733,4
23710,g0403191-143349,60.82970833,-14.56361111,0.076958,4
23711,g0407483-131726,61.95133333,-13.29063889,0.08939,4
23712,g0407238-135145,61.84895833,-13.8625,0.104957,4
23713,g0404238-145117,61.09925,-14.85475,0.022245,4
23714,g0404102-140602,61.04229167,-14.10041667,0.022845,4
23715,g0408141-133735,62.05858333,-13.62627778,0.09616,4
23716,g0406424-153151,61.6765,-15.53077778,0.111571,4
23717,g0408259-135906,62.10808333,-13.98508333,0.032047,4
23718,g0405361-151138,61.40054167,-15.19380556,0.031616,4
23719,g0407207-145616,61.83641667,-14.93783333,0.033867,4
23720,g0408509-143707,62.212125,-14.61866667,0.029617,4
23721,g0408430-145827,62.179125,-14.97419444,0.041195,4
23722,g0410016-142707,62.50670833,-14.45191667,0.033318,4
23723,g0406432-151729,61.68008333,-15.29125,0.077816,4
23724,g0408139-151310,62.057875,-15.21933333,0.041514,4
23725,g0407329-153007,61.887,-15.50191667,0.041004,4
23726,g0409430-151436,62.429125,-15.24338889,0.041258,4
23727,g0408155-152853,62.064375,-15.4815,0.030557,4
23728,g0411456-151816,62.940125,-15.30444444,0.031639,4
23729,g0413259-151035,63.35808333,-15.17625,0.029599,4
23731,g0410383-152644,62.659375,-15.44555556,0.029935,4
23732,g0408595-153518,62.24804167,-15.58836111,0.030534,4
23733,g0412154-160019,63.06395833,-16.00530556,0.027909,4
23734,g0412277-160548,63.11558333,-16.09669444,0.062811,4
23736,g0408141-154205,62.05866667,-15.70125,0.077507,4
23737,g0413127-162444,63.30270833,-16.41213889,0.029496,4
23739,g0412358-163458,63.14929167,-16.58277778,0.082702,4
23740,g0412069-164124,63.02854167,-16.68994444,0.031736,4
23741,g0411342-164250,62.89233333,-16.71394444,0.094979,4
23742,g0406305-155524,61.62716667,-15.92322222,0.040284,4
23744,g0408329-164531,62.137,-16.75847222,0.040218,4
23745,g0401066-161543,60.27729167,-16.26197222,0.031515,4
23746,g0408540-170045,62.225,-17.01252778,0.028008,4
